Name,Sex,Age,MidTerm,Grade
621050301,male,19,93,P
621050302,female,19,44,F
621050303,female,19,22,F
621050304,female,19,18,F
621050305,male,18,85,P
621050306,male,19,85,P
621050307,male,20,29,F
621050308,male,20,8,F
621050309,female,18,5,F
621050310,female,19,40,F
621050311,female,20,43,F
621050312,female,20,62,F
621050313,male,19,81,P
621050314,male,18,79,P
621050315,female,18,72,F
621050316,female,20,21,F
621050317,male,18,71,P
621050318,male,19,90,P
621050319,female,20,55,F
621050320,female,18,26,F
621050321,male,19,70,P
621050322,male,20,36,P
621050323,female,20,35,F
621050324,male,19,24,F
621050325,female,19,74,F
621050326,female,18,28,F
621050327,male,19,70,P
621050328,male,18,79,P
621050329,female,19,19,F
621050330,male,20,86,P
621050331,male,20,29,F
621050332,female,20,98,F
621050333,female,20,37,F
621050334,male,18,81,P
621050335,male,20,24,F
621050336,male,19,50,P
621050337,male,18,62,P
621050338,male,20,99,P
621050339,female,19,89,F
621050340,female,20,48,F
621050341,female,19,71,F
621050342,female,20,63,F
621050343,male,20,68,P
621050344,female,18,49,F
621050345,female,20,77,F
621050346,male,20,21,F
621050347,male,19,78,P
621050348,female,18,39,F
621050349,male,20,34,P
621050350,female,19,92,F
621050351,male,19,65,P
621050352,male,19,66,P
621050353,female,20,95,F
621050354,female,19,29,F
621050355,male,20,6,F
621050356,male,19,30,P
621050357,female,20,56,F
621050358,male,18,81,P
621050359,female,18,22,F
621050360,male,20,16,F
621050361,male,19,85,P
621050362,female,20,2,F
621050363,male,20,39,P
621050364,male,18,21,F
621050365,male,20,35,P
621050366,male,19,24,F
621050367,female,19,20,F
621050368,male,18,33,P
621050369,female,19,12,F
621050370,male,18,50,P
621050371,male,18,17,F
621050372,female,20,34,F
621050373,male,18,1,F
621050374,male,19,41,P
621050375,male,20,63,P
621050376,male,19,58,P
621050377,male,18,97,P
621050378,male,20,13,F
621050379,male,19,24,F
621050380,female,19,2,F
621050381,male,18,16,F
621050382,male,18,4,F
621050383,female,18,76,F
621050384,male,20,73,P
621050385,female,19,92,F
621050386,female,18,32,F
621050387,male,20,16,F
621050388,male,20,27,F
621050389,female,20,13,F
621050390,male,19,65,P
621050391,male,18,57,P
621050392,male,20,56,P
621050393,male,20,7,F
621050394,male,19,30,P
621050395,male,19,99,P
621050396,male,20,100,P
621050397,male,20,83,P
621050398,male,20,88,P
621050399,female,20,20,F
621050400,male,19,33,P
621050401,female,19,65,F
621050402,male,20,85,P
621050403,male,19,69,P
621050404,male,19,91,P
621050405,male,19,78,P
621050406,male,20,0,F
621050407,female,18,2,F
621050408,male,18,95,P
621050409,male,20,71,P
621050410,female,20,61,F
621050411,male,19,68,P
621050412,female,20,87,F
621050413,male,20,64,P
621050414,female,20,13,F
621050415,female,19,46,F
621050416,male,18,97,P
621050417,male,18,97,P
621050418,male,18,68,P
621050419,male,18,86,P
621050420,female,20,27,F
621050421,male,18,93,P
621050422,male,20,99,P
621050423,male,18,18,F
621050424,female,20,96,F
621050425,male,18,10,F
621050426,male,18,11,F
621050427,male,20,90,P
621050428,male,20,32,P
621050429,female,19,88,F
621050430,male,19,72,P
621050431,male,19,78,P
621050432,male,19,48,P
621050433,female,19,87,F
621050434,female,20,54,F
621050435,male,20,87,P
621050436,male,18,44,P
621050437,female,19,29,F
621050438,male,20,69,P
621050439,male,19,22,F
621050440,male,18,67,P
621050441,female,19,44,F
621050442,female,18,52,F
621050443,female,18,73,F
621050444,male,19,95,P
621050445,male,20,46,P
621050446,male,19,17,F
621050447,male,19,43,P
621050448,female,20,72,F
621050449,male,20,36,P
621050450,male,20,27,F
621050451,male,20,19,F
621050452,female,20,12,F
621050453,male,19,81,P
621050454,male,20,32,P
621050455,male,19,45,P
621050456,male,18,19,F
621050457,female,20,8,F
621050458,male,19,49,P
621050459,male,20,38,P
621050460,male,20,84,P
621050461,male,19,75,P
621050462,female,19,34,F
621050463,male,19,90,P
621050464,male,20,30,P
621050465,male,19,20,F
621050466,male,18,56,P
621050467,female,18,67,F
621050468,female,19,74,F
621050469,male,18,95,P
621050470,male,20,23,F
621050471,male,18,95,P
621050472,male,19,37,P
621050473,female,19,64,F
621050474,male,18,71,P
621050475,male,20,32,P
621050476,male,18,62,P
621050477,male,19,84,P
621050478,female,18,99,F
621050479,male,18,36,P
621050480,male,19,74,P
621050481,female,18,95,F
621050482,male,20,14,F
621050483,male,20,69,P
621050484,male,20,23,F
621050485,female,18,13,F
621050486,male,18,45,P
621050487,female,20,46,F
621050488,male,20,98,P
621050489,male,20,13,F
621050490,male,19,5,F
621050491,female,20,28,F
621050492,male,19,28,F
621050493,female,20,31,F
621050494,male,20,90,P
621050495,female,20,43,F
621050496,female,18,24,F
621050497,male,19,71,P
621050498,male,19,69,P
621050499,female,19,78,F
621050500,female,20,56,F
621050501,male,20,3,F
621050502,male,18,37,P
621050503,male,20,64,P
621050504,male,19,32,P
621050505,male,19,98,P
621050506,female,18,78,F
621050507,male,20,61,P
621050508,male,20,22,F
621050509,female,20,6,F
621050510,male,18,33,P
621050511,male,20,100,P
